Index,No. Beds,Market Sale,Market Rent,Affordable Rent,Social Rent,Shared Ownership,site
1,1 Bed,,,,,,
1,2 Bed,,,,,,
1,3 Bed,,,,,,
1,4 Bed,,,,,,
2,1 Bed,,,,,,
2,2 Bed,,,,,,
2,3 Bed,,,,,,
2,4 Bed,,,,,,
3,1 Bed,,,,,,
3,2 Bed,,,,,,
3,3 Bed,,,,,,
3,4 Bed,,,,,,
4,1 Bed,,,,,,
4,2 Bed,,,,,,
4,3 Bed,,,,,,
4,4 Bed,,,,,,
5,1 Bed,,,,,,
5,2 Bed,,,,,,
5,3 Bed,,,,,,
5,4 Bed,,,,,,
6,1 Bed,,,,,,
6,2 Bed,,,,,,
6,3 Bed,,,,,,
6,4 Bed,,,,,,
7,1 Bed,,,,,,
7,2 Bed,,,,,,
7,3 Bed,,,,,,
7,4 Bed,,,,,,
8,1 Bed,,,,,,
8,2 Bed,,,,,,
8,3 Bed,,,,,,
8,4 Bed,,,,,,
9,1 Bed,,,,,,
9,2 Bed,,,,,,
9,3 Bed,,,,,,
9,4 Bed,,,,,,
10,1 Bed,,,,,,
10,2 Bed,,,,,,
10,3 Bed,,,,,,
10,4 Bed,,,,,,
11,1 Bed,,,,,,
11,2 Bed,,,,,,
11,3 Bed,,,,,,
11,4 Bed,,,,,,
12,1 Bed,,,,,,
12,2 Bed,,,,,,
12,3 Bed,,,,,,
12,4 Bed,,,,,,
13,1 Bed,,,,,,
13,2 Bed,,,,,,
13,3 Bed,,,,,,
13,4 Bed,,,,,,
14,1 Bed,,,,,,
14,2 Bed,,,,,,
14,3 Bed,,,,,,
14,4 Bed,,,,,,
15,1 Bed,,,,,,
15,2 Bed,,,,,,
15,3 Bed,,,,,,
15,4 Bed,,,,,,
16,1 Bed,,,,,,
16,2 Bed,,,,,,
16,3 Bed,,,,,,
16,4 Bed,,,,,,
17,1 Bed,,,,,,
17,2 Bed,,,,,,
17,3 Bed,,,,,,
17,4 Bed,,,,,,
18,1 Bed,,,,,,
18,2 Bed,,,,,,
18,3 Bed,,,,,,
18,4 Bed,,,,,,
19,1 Bed,,,,,,
19,2 Bed,,,,,,
19,3 Bed,,,,,,
19,4 Bed,,,,,,
20,1 Bed,,,,,,
20,2 Bed,,,,,,
20,3 Bed,,,,,,
20,4 Bed,,,,,,
21,1 Bed,,,,,,
21,2 Bed,,,,,,
21,3 Bed,,,,,,
21,4 Bed,,,,,,
22,1 Bed,,,,,,
22,2 Bed,,,,,,
22,3 Bed,,,,,,
22,4 Bed,,,,,,
23,1 Bed,,,,,,
23,2 Bed,,,,,,
23,3 Bed,,,,,,
23,4 Bed,,,,,,
24,1 Bed,,,,,,
24,2 Bed,,,,,,
24,3 Bed,,,,,,
24,4 Bed,,,,,,
25,1 Bed,,,,,,
25,2 Bed,,,,,,
25,3 Bed,,,,,,
25,4 Bed,,,,,,
26,1 Bed,,,,,,
26,2 Bed,,,,,,
26,3 Bed,,,,,,
26,4 Bed,,,,,,
27,1 Bed,,,,,,
27,2 Bed,,,,,,
27,3 Bed,,,,,,
27,4 Bed,,,,,,
28,1 Bed,,,,,,
28,2 Bed,,,,,,
28,3 Bed,,,,,,
28,4 Bed,,,,,,
29,1 Bed,,,,,,
29,2 Bed,,,,,,
29,3 Bed,,,,,,
29,4 Bed,,,,,,
30,1 Bed,,,,,,
30,2 Bed,,,,,,
30,3 Bed,,,,,,
30,4 Bed,,,,,,
31,1 Bed,,,,,,
31,2 Bed,,,,,,
31,3 Bed,,,,,,
31,4 Bed,,,,,,
32,1 Bed,,,,,,
32,2 Bed,,,,,,
32,3 Bed,,,,,,
32,4 Bed,,,,,,
33,1 Bed,,,,,,
33,2 Bed,,,,,,
33,3 Bed,,,,,,
33,4 Bed,,,,,,
34,1 Bed,,,,,,
34,2 Bed,,,,,,
34,3 Bed,,,,,,
34,4 Bed,,,,,,
35,1 Bed,,,,,,
35,2 Bed,,,,,,
35,3 Bed,,,,,,
35,4 Bed,,,,,,
36,1 Bed,,,,,,
36,2 Bed,,,,,,
36,3 Bed,,,,,,
36,4 Bed,,,,,,
37,1 Bed,,,,,,
37,2 Bed,,,,,,
37,3 Bed,,,,,,
37,4 Bed,,,,,,
38,1 Bed,,,,,,
38,2 Bed,,,,,,
38,3 Bed,,,,,,
38,4 Bed,,,,,,
39,1 Bed,,,,,,
39,2 Bed,,,,,,
39,3 Bed,,,,,,
39,4 Bed,,,,,,
40,1 Bed,,,,,,
40,2 Bed,,,,,,
40,3 Bed,,,,,,
40,4 Bed,,,,,,
41,1 Bed,,,,,,
41,2 Bed,,,,,,
41,3 Bed,,,,,,
41,4 Bed,,,,,,
42,1 Bed,,,,,,
42,2 Bed,,,,,,
42,3 Bed,,,,,,
42,4 Bed,,,,,,
43,1 Bed,,,,,,
43,2 Bed,,,,,,
43,3 Bed,,,,,,
43,4 Bed,,,,,,
44,1 Bed,,,,,,
44,2 Bed,,,,,,
44,3 Bed,,,,,,
44,4 Bed,,,,,,
45,1 Bed,,,,,,
45,2 Bed,,,,,,
45,3 Bed,,,,,,
45,4 Bed,,,,,,
46,1 Bed,,,,,,
46,2 Bed,,,,,,
46,3 Bed,,,,,,
46,4 Bed,,,,,,
47,1 Bed,,,,,,
47,2 Bed,,,,,,
47,3 Bed,,,,,,
47,4 Bed,,,,,,
48,1 Bed,,,,,,
48,2 Bed,,,,,,
48,3 Bed,,,,,,
48,4 Bed,,,,,,
49,1 Bed,,,,,,
49,2 Bed,,,,,,
49,3 Bed,,,,,,
49,4 Bed,,,,,,
50,1 Bed,,,,,,
50,2 Bed,,,,,,
50,3 Bed,,,,,,
50,4 Bed,,,,,,
51,1 Bed,,,,,,
51,2 Bed,,,,,,
51,3 Bed,,,,,,
51,4 Bed,,,,,,
52,1 Bed,,,,,,
52,2 Bed,,,,,,
52,3 Bed,,,,,,
52,4 Bed,,,,,,
53,1 Bed,,,,,,
53,2 Bed,,,,,,
53,3 Bed,,,,,,
53,4 Bed,,,,,,
54,1 Bed,,,,,,
54,2 Bed,,,,,,
54,3 Bed,,,,,,
54,4 Bed,,,,,,
55,1 Bed,,,,,,
55,2 Bed,,,,,,
55,3 Bed,,,,,,
55,4 Bed,,,,,,
56,1 Bed,,,,,,
56,2 Bed,,,,,,
56,3 Bed,,,,,,
56,4 Bed,,,,,,
57,1 Bed,,,,,,
57,2 Bed,,,,,,
57,3 Bed,,,,,,
57,4 Bed,,,,,,
58,1 Bed,,,,,,
58,2 Bed,,,,,,
58,3 Bed,,,,,,
58,4 Bed,,,,,,
59,1 Bed,,,,,,
59,2 Bed,,,,,,
59,3 Bed,,,,,,
59,4 Bed,,,,,,
60,1 Bed,,,,,,
60,2 Bed,,,,,,
60,3 Bed,,,,,,
60,4 Bed,,,,,,
61,1 Bed,,,,,,
61,2 Bed,,,,,,
61,3 Bed,,,,,,
61,4 Bed,,,,,,
62,1 Bed,,,,,,
62,2 Bed,,,,,,
62,3 Bed,,,,,,
62,4 Bed,,,,,,
63,1 Bed,,,,,,
63,2 Bed,,,,,,
63,3 Bed,,,,,,
63,4 Bed,,,,,,
64,1 Bed,,,,,,
64,2 Bed,,,,,,
64,3 Bed,,,,,,
64,4 Bed,,,,,,
65,1 Bed,,,,,,
65,2 Bed,,,,,,
65,3 Bed,,,,,,
65,4 Bed,,,,,,
66,1 Bed,,,,,,
66,2 Bed,,,,,,
66,3 Bed,,,,,,
66,4 Bed,,,,,,
67,1 Bed,,,,,,
67,2 Bed,,,,,,
67,3 Bed,,,,,,
67,4 Bed,,,,,,
68,1 Bed,,,,,,
68,2 Bed,,,,,,
68,3 Bed,,,,,,
68,4 Bed,,,,,,
69,1 Bed,,,,,,
69,2 Bed,,,,,,
69,3 Bed,,,,,,
69,4 Bed,,,,,,
70,1 Bed,,,,,,
70,2 Bed,,,,,,
70,3 Bed,,,,,,
70,4 Bed,,,,,,
71,1 Bed,,,,,,
71,2 Bed,,,,,,
71,3 Bed,,,,,,
71,4 Bed,,,,,,
72,1 Bed,,,,,,
72,2 Bed,,,,,,
72,3 Bed,,,,,,
72,4 Bed,,,,,,
73,1 Bed,,,,,,
73,2 Bed,,,,,,
73,3 Bed,,,,,,
73,4 Bed,,,,,,
74,1 Bed,,,,,,
74,2 Bed,,,,,,
74,3 Bed,,,,,,
74,4 Bed,,,,,,
75,1 Bed,,,,,,
75,2 Bed,,,,,,
75,3 Bed,,,,,,
75,4 Bed,,,,,,
76,1 Bed,,,,,,
76,2 Bed,,,,,,
76,3 Bed,,,,,,
76,4 Bed,,,,,,
77,1 Bed,,,,,,
77,2 Bed,,,,,,
77,3 Bed,,,,,,
77,4 Bed,,,,,,
78,1 Bed,,,,,,
78,2 Bed,,,,,,
78,3 Bed,,,,,,
78,4 Bed,,,,,,
79,1 Bed,,,,,,
79,2 Bed,,,,,,
79,3 Bed,,,,,,
79,4 Bed,,,,,,
80,1 Bed,,,,,,
80,2 Bed,,,,,,
80,3 Bed,,,,,,
80,4 Bed,,,,,,
81,1 Bed,,,,,,
81,2 Bed,,,,,,
81,3 Bed,,,,,,
81,4 Bed,,,,,,
82,1 Bed,,,,,,
82,2 Bed,,,,,,
82,3 Bed,,,,,,
82,4 Bed,,,,,,
83,1 Bed,,,,,,
83,2 Bed,,,,,,
83,3 Bed,,,,,,
83,4 Bed,,,,,,
84,1 Bed,,,,,,
84,2 Bed,,,,,,
84,3 Bed,,,,,,
84,4 Bed,,,,,,
85,1 Bed,,,,,,
85,2 Bed,,,,,,
85,3 Bed,,,,,,
85,4 Bed,,,,,,
86,1 Bed,,,,,,
86,2 Bed,,,,,,
86,3 Bed,,,,,,
86,4 Bed,,,,,,
87,1 Bed,,,,,,
87,2 Bed,,,,,,
87,3 Bed,,,,,,
87,4 Bed,,,,,,
88,1 Bed,,,,,,
88,2 Bed,,,,,,
88,3 Bed,,,,,,
88,4 Bed,,,,,,
89,1 Bed,,,,,,
89,2 Bed,,,,,,
89,3 Bed,,,,,,
89,4 Bed,,,,,,
90,1 Bed,,,,,,
90,2 Bed,,,,,,
90,3 Bed,,,,,,
90,4 Bed,,,,,,
91,1 Bed,,,,,,
91,2 Bed,,,,,,
91,3 Bed,,,,,,
91,4 Bed,,,,,,
92,1 Bed,,,,,,
92,2 Bed,,,,,,
92,3 Bed,,,,,,
92,4 Bed,,,,,,
93,1 Bed,,,,,,
93,2 Bed,,,,,,
93,3 Bed,,,,,,
93,4 Bed,,,,,,
94,1 Bed,,,,,,
94,2 Bed,,,,,,
94,3 Bed,,,,,,
94,4 Bed,,,,,,
95,1 Bed,,,,,,
95,2 Bed,,,,,,
95,3 Bed,,,,,,
95,4 Bed,,,,,,
96,1 Bed,,,,,,
96,2 Bed,,,,,,
96,3 Bed,,,,,,
96,4 Bed,,,,,,
97,1 Bed,,,,,,
97,2 Bed,,,,,,
97,3 Bed,,,,,,
97,4 Bed,,,,,,
98,1 Bed,,,,,,
98,2 Bed,,,,,,
98,3 Bed,,,,,,
98,4 Bed,,,,,,
99,1 Bed,,,,,,
99,2 Bed,,,,,,
99,3 Bed,,,,,,
99,4 Bed,,,,,,
100,1 Bed,,,,,,
100,2 Bed,,,,,,
100,3 Bed,,,,,,
100,4 Bed,,,,,,
101,1 Bed,,,,,,
101,2 Bed,,,,,,
101,3 Bed,,,,,,
101,4 Bed,,,,,,
102,1 Bed,,,,,,
102,2 Bed,,,,,,
102,3 Bed,,,,,,
102,4 Bed,,,,,,
103,1 Bed,,,,,,
103,2 Bed,,,,,,
103,3 Bed,,,,,,
103,4 Bed,,,,,,
104,1 Bed,,,,,,
104,2 Bed,,,,,,
104,3 Bed,,,,,,
104,4 Bed,,,,,,
105,1 Bed,,,,,,
105,2 Bed,,,,,,
105,3 Bed,,,,,,
105,4 Bed,,,,,,
106,1 Bed,,,,,,
106,2 Bed,,,,,,
106,3 Bed,,,,,,
106,4 Bed,,,,,,
107,1 Bed,,,,,,
107,2 Bed,,,,,,
107,3 Bed,,,,,,
107,4 Bed,,,,,,
108,1 Bed,,,,,,
108,2 Bed,,,,,,
108,3 Bed,,,,,,
108,4 Bed,,,,,,
109,1 Bed,,,,,,
109,2 Bed,,,,,,
109,3 Bed,,,,,,
109,4 Bed,,,,,,
110,1 Bed,,,,,,
110,2 Bed,,,,,,
110,3 Bed,,,,,,
110,4 Bed,,,,,,
111,1 Bed,,,,,,
111,2 Bed,,,,,,
111,3 Bed,,,,,,
111,4 Bed,,,,,,
112,1 Bed,,,,,,
112,2 Bed,,,,,,
112,3 Bed,,,,,,
112,4 Bed,,,,,,
113,1 Bed,,,,,,
113,2 Bed,,,,,,
113,3 Bed,,,,,,
113,4 Bed,,,,,,
114,1 Bed,,,,,,
114,2 Bed,,,,,,
114,3 Bed,,,,,,
114,4 Bed,,,,,,
115,1 Bed,,,,,,
115,2 Bed,,,,,,
115,3 Bed,,,,,,
115,4 Bed,,,,,,
116,1 Bed,,,,,,
116,2 Bed,,,,,,
116,3 Bed,,,,,,
116,4 Bed,,,,,,
117,1 Bed,,,,,,
117,2 Bed,,,,,,
117,3 Bed,,,,,,
117,4 Bed,,,,,,
